rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
7.35,0.05,2848,73690,25,102.16,1140,18172,0.08493146300315857,0.0001,,
7.43,0.05,2886,74677,25,101.99,1150,18419,0.04155825451016426,0.0001,,
7.06,0.05,2914,75406,25,97.7,1160,18601,0.10895878821611404,0.0001,,
7.09,0.05,2954,76467,25,98.38,1170,18866,0.13464263081550598,0.0001,,
7.19,0.05,2995,77537,25,97.65,1180,19134,0.1014341190457344,0.0001,,
7.02,0.05,3029,78386,25,97.41,1190,19346,0.116533562541008,0.0001,,
6.87,0.05,3061,79206,25,96.54,1200,19551,0.18317586183547974,0.0001,,
6.9,0.05,3126,80902,25,101.05,1210,19975,0.11050304770469666,0.0001,,
7.32,0.05,3182,82359,25,108.04,1220,20339,0.1278565526008606,0.0001,,
6.99,0.05,3215,83199,25,104.75,1230,20549,0.06940856575965881,0.0001,,
6.81,0.05,3239,83825,25,101.35,1240,20706,0.03757645934820175,0.0001,,
6.78,0.05,3280,84906,25,102.29,1250,20976,0.15957531332969666,0.0001,,
7.16,0.05,3325,86051,25,106.45,1260,21262,0.13702493906021118,0.0001,,
7.12,0.05,3360,86936,25,104.69,1270,21483,0.1125677078962326,0.0001,,
6.97,0.05,3391,87728,25,101.91,1280,21681,0.07100725919008255,0.0001,,
7.27,0.05,3441,89047,25,106.61,1290,22011,0.09093404561281204,0.0001,,
7.58,0.05,3494,90405,25,111.99,1300,22351,0.12807580828666687,0.0001,,
7.24,0.05,3519,91059,25,101.57,1310,22514,0.04243079200387001,0.0001,,
6.96,0.05,3563,92177,25,98.18,1320,22794,0.04727596789598465,0.0001,,
7.12,0.05,3603,93228,25,100.29,1330,23056,0.05273914337158203,0.0001,,
7.26,0.05,3641,94178,25,103.53,1340,23294,0.20591333508491516,0.0001,,
7.1,0.05,3681,95203,25,102.97,1350,23550,0.049027495086193085,0.0001,,
7.12,0.05,3728,96427,25,103.76,1360,23856,0.05696931853890419,0.0001,,
7.21,0.05,3784,97884,25,109.48,1370,24220,0.10945504903793335,0.0001,,
7.43,0.05,3825,98941,25,112.13,1380,24485,0.06413394212722778,0.0001,,
7.28,0.05,3857,99764,25,107.17,1390,24690,0.1961762011051178,0.0001,,
,0.05,,100000,,,,24749,0.04792807251214981,0.0001,64.0,4.6
6.96,0.05,3895,100731,25,103.26,1400,24932,0.1283358335494995,0.0001,,
7.2,0.05,3939,101849,25,107.9,1410,25212,0.052170973271131516,0.0001,,
7.17,0.05,3976,102802,25,106.25,1420,25450,0.1333288699388504,0.0001,,
7.28,0.05,4022,104013,25,107.85,1430,25753,0.12106630206108093,0.0001,,
7.45,0.05,4067,105151,25,109.73,1440,26037,0.22954532504081726,0.0001,,
7.63,0.05,4112,106311,25,111.08,1450,26327,0.039047058671712875,0.0001,,
7.52,0.05,4144,107142,25,107.15,1460,26535,0.04404430836439133,0.0001,,
7.59,0.05,4194,108424,25,105.4,1470,26855,0.2813740074634552,0.0001,,
7.41,0.05,4228,109265,25,103.24,1480,27066,0.17305848002433777,0.0001,,
7.33,0.05,4268,110285,25,105.21,1490,27321,0.0398121178150177,0.0001,,
7.82,0.05,4323,111711,25,109.8,1500,27677,0.13772670924663544,0.0001,,
7.67,0.05,4354,112532,25,106.83,1510,27882,0.07454374432563782,0.0001,,
7.61,0.05,4387,113383,25,105.81,1520,28095,0.2800401449203491,0.0001,,
7.54,0.05,4435,114475,25,104.62,1530,28368,0.04859941080212593,0.0001,,
7.52,0.05,4481,115636,25,104.85,1540,28658,0.14778022468090057,0.0001,,
7.51,0.05,4537,117047,25,107.36,1550,29011,0.1468796730041504,0.0001,,
7.46,0.05,4576,118073,25,109.31,1560,29268,0.06195903941988945,0.0001,,
7.47,0.05,4625,119343,25,109.19,1570,29585,0.047630295157432556,0.0001,,
7.61,0.05,4667,120436,25,111.71,1580,29858,0.0948600098490715,0.0001,,
7.55,0.05,4704,121405,25,111.2,1590,30101,0.25266629457473755,0.0001,,
7.32,0.05,4755,122706,25,109.95,1600,30426,0.04404488578438759,0.0001,,
7.35,0.05,4801,123879,25,113.47,1610,30719,0.19819316267967224,0.0001,,
7.4,0.05,4840,124889,25,115.06,1620,30972,0.03589842841029167,0.0001,,
7.34,0.05,4881,125949,25,114.74,1630,31237,0.1349322497844696,0.0001,,
7.28,0.05,4928,127169,25,115.33,1640,31542,0.06823382526636124,0.0001,,
7.35,0.05,4974,128368,25,113.21,1650,31841,0.08691741526126862,0.0001,,
7.27,0.05,5006,129191,25,111.18,1660,32047,0.0513402558863163,0.0001,,
7.41,0.05,5064,130722,25,113.79,1670,32430,0.13144154846668243,0.0001,,
7.63,0.05,5120,132137,25,117.01,1680,32784,0.2108958661556244,0.0001,,
7.91,0.05,5158,133152,25,117.47,1690,33037,0.1738891899585724,0.0001,,
7.75,0.05,5188,133933,25,112.27,1700,33233,0.07403703778982162,0.0001,,
7.89,0.05,5231,135033,25,111.54,1710,33508,0.0936724916100502,0.0001,,
7.89,0.05,5277,136228,25,113.39,1720,33806,0.10619477927684784,0.0001,,
7.87,0.05,5304,136938,25,109.89,1730,33984,0.24162524938583374,0.0001,,
7.76,0.05,5340,137862,25,106.93,1740,34215,0.17012947797775269,0.0001,,
7.58,0.05,5395,139266,25,108.98,1750,34566,0.17378444969654083,0.0001,,
7.42,0.05,5419,139882,25,106.91,1760,34720,0.06326031684875488,0.0001,,
7.31,0.05,5475,141318,25,105.96,1770,35079,0.1875256448984146,0.0001,,
7.39,0.05,5535,142877,25,107.4,1780,35469,0.09416241943836212,0.0001,,
7.14,0.05,5574,143875,25,107.23,1790,35718,0.06332025676965714,0.0001,,
7.5,0.05,5629,145306,25,113.73,1800,36076,0.052664946764707565,0.0001,,
7.26,0.05,5663,146123,25,110.9,1810,36280,0.17022573947906494,0.0001,,
7.59,0.05,5719,147475,25,112.47,1820,36618,0.18926577270030975,0.0001,,
7.45,0.05,5746,148176,25,112.38,1830,36793,0.0955975204706192,0.0001,,
7.81,0.05,5805,149671,25,118.09,1840,37167,0.13917918503284454,0.0001,,
,0.05,,150000,,,,37249,0.12836579978466034,0.0001,127.0,9.4
7.9,0.05,5848,150667,25,114.01,1850,37416,0.11015307158231735,0.0001,,
8.17,0.05,5892,151786,25,119.04,1860,37696,0.1146773248910904,0.0001,,
8.04,0.05,5940,153010,25,116.92,1870,38002,0.0456174872815609,0.0001,,
7.91,0.05,5991,154288,25,114.11,1880,38321,0.04641222581267357,0.0001,,
7.95,0.05,6036,155448,25,115.73,1890,38611,0.12878096103668213,0.0001,,
7.79,0.05,6075,156457,25,111.51,1900,38864,0.3539523482322693,0.0001,,
8.17,0.05,6125,157752,25,116.29,1910,39187,0.13739940524101257,0.0001,,
8.1,0.05,6179,159121,25,116.46,1920,39530,0.05852252244949341,0.0001,,
8.35,0.05,6221,160207,25,120.31,1930,39801,0.12281407415866852,0.0001,,
8.28,0.05,6257,161102,25,114.31,1940,40025,0.08769947290420532,0.0001,,
8.29,0.05,6301,162209,25,115.42,1950,40302,0.06592678278684616,0.0001,,
8.58,0.05,6344,163314,25,115.28,1960,40578,0.2819363474845886,0.0001,,
8.52,0.05,6380,164251,25,112.41,1970,40812,0.11496531963348389,0.0001,,
8.55,0.05,6437,165705,25,114.17,1980,41176,0.11661231517791748,0.0001,,
8.58,0.05,6475,166682,25,112.34,1990,41420,0.1888764351606369,0.0001,,
8.68,0.05,6536,168256,25,117.99,2000,41813,0.11725042760372162,0.0001,,
8.36,0.05,6566,168966,25,112.14,2010,41991,0.13323840498924255,0.0001,,
8.56,0.05,6625,170480,25,113.59,2020,42369,0.10004723072052002,0.0001,,
8.35,0.05,6656,171285,25,110.78,2030,42571,0.11930070072412491,0.0001,,
8.34,0.05,6706,172554,25,114.52,2040,42888,0.1986537128686905,0.0001,,
8.2,0.05,6751,173689,25,114.8,2050,43172,0.06560768932104111,0.0001,,
8.14,0.05,6803,175006,25,116.92,2060,43501,0.2612840235233307,0.0001,,
8.02,0.05,6835,175829,25,115.78,2070,43707,0.2815329432487488,0.0001,,
7.83,0.05,6878,176925,25,112.2,2080,43981,0.11325162649154663,0.0001,,
8.39,0.05,6941,178344,25,116.62,2090,44335,0.18065927922725677,0.0001,,
8.26,0.05,6987,179506,25,112.5,2100,44626,0.2225114405155182,0.0001,,
8.18,0.05,7020,180368,25,114.02,2110,44841,0.04985499009490013,0.0001,,
7.92,0.05,7071,181653,25,111.73,2120,45163,0.44079822301864624,0.0001,,
8.28,0.05,7118,182858,25,115.73,2130,45464,0.043078843504190445,0.0001,,
8.22,0.05,7168,184115,25,115.61,2140,45778,0.34783777594566345,0.0001,,
8.25,0.05,7208,185164,25,114.75,2150,46040,0.06822671741247177,0.0001,,
8.23,0.05,7259,186463,25,114.57,2160,46365,0.22260817885398865,0.0001,,
8.39,0.05,7305,187658,25,118.29,2170,46664,0.10647450387477875,0.0001,,
8.38,0.05,7348,188757,25,118.32,2180,46939,0.27142876386642456,0.0001,,
7.87,0.05,7390,189828,25,114.84,2190,47206,0.04242371767759323,0.0001,,
8.23,0.05,7459,191578,25,120.72,2200,47644,0.08238568902015686,0.0001,,
8.47,0.05,7499,192604,25,122.36,2210,47900,0.06889300793409348,0.0001,,
8.29,0.05,7541,193663,25,120.1,2220,48165,0.2309248447418213,0.0001,,
8.23,0.05,7596,195048,25,121.9,2230,48511,0.053775854408741,0.0001,,
8.25,0.05,7647,196338,25,122.23,2240,48834,0.12615281343460083,0.0001,,
8.36,0.05,7706,197828,25,126.64,2250,49206,0.08392877131700516,0.0001,,
8.5,0.05,7760,199180,25,127.17,2260,49544,0.24194088578224182,0.0001,,
,0.05,,200000,,,,49749,0.05207663029432297,0.0001,107.8,7.6
8.41,0.05,7813,200481,25,128.23,2270,49870,0.11150971055030823,0.0001,,
8.45,0.05,7852,201473,25,127.16,2280,50118,0.08173695206642151,0.0001,,
8.54,0.05,7896,202582,25,127.54,2290,50395,0.06738391518592834,0.0001,,
8.12,0.05,7943,203793,25,122.15,2300,50698,0.056193627417087555,0.0001,,
8.3,0.05,7994,205095,25,124.91,2310,51023,0.05381377041339874,0.0001,,
8.22,0.05,8029,205984,25,123.21,2320,51245,0.04002176970243454,0.0001,,
8.21,0.05,8078,207225,25,121.77,2330,51556,0.14602911472320557,0.0001,,
