rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
65.17,0.8072628399999999,3.23,819,59,870,48671,0.0001,0.03577008470892906,11917,,
61.61,0.80508088,3.04,829,59,880,49222,0.0001,0.3327885866165161,12055,,
61.44,0.80262568,2.89,839,59,890,49842,0.0001,0.0643482655286789,12210,,
,0.80200396,,,,,50000,0.0001,0.03055342100560665,12249,11.4,149.8
62.65,0.7993982799999999,2.95,857,59,900,50657,0.0001,0.05088570713996887,12414,,
62.98,0.7966936,3.04,868,59,910,51340,0.0001,0.048114169389009476,12584,,
63.41,0.79456708,3.14,877,59,920,51877,0.0001,0.05358275771141052,12719,,
66.36,0.7913594800000001,3.2,891,59,930,52687,0.0001,0.20719118416309357,12921,,
68.27,0.7882587999999999,3.26,904,59,940,53470,0.0001,0.10268104821443558,13117,,
67.56,0.7859263599999999,3.24,913,59,950,54059,0.0001,0.04569879174232483,13264,,
70.64,0.78229108,3.4,929,59,960,54977,0.0001,0.018193405121564865,13494,,
69.55,0.77972104,3.38,939,59,970,55626,0.0001,0.10293074697256088,13656,,
70.24,0.7772658399999999,3.42,952,59,980,56246,0.0001,0.03047146275639534,13811,,
70.72,0.7746205599999999,3.46,963,59,990,56914,0.0001,0.06217144429683685,13978,,
67.09,0.7728306399999999,3.29,970,59,1000,57366,0.0001,0.05293874070048332,14091,,
66.51,0.77035564,3.24,981,59,1010,57991,0.0001,0.02618524804711342,14247,,
66.17,0.7683637600000001,3.12,989,59,1020,58494,0.0001,0.15310364961624146,14373,,
64.59,0.76578184,3.17,1000,59,1030,59146,0.0001,0.2926856279373169,14536,,
60.44,0.7643245599999999,2.97,1007,59,1040,59514,0.0001,0.04851384460926056,14628,,
60.36,0.7620237999999999,3.02,1016,59,1050,60095,0.0001,0.041142988950014114,14773,,
59.23,0.758836,2.9,1030,59,1060,60900,0.0001,0.14343933761119843,14974,,
61.6,0.75532744,2.99,1044,59,1070,61786,0.0001,0.03509067744016647,15196,,
62.63,0.75246436,3.09,1057,59,1080,62509,0.0001,0.2885148525238037,15377,,
63.62,0.74942704,3.02,1069,59,1090,63276,0.0001,0.054022762924432755,15568,,
65.27,0.74698372,3.13,1080,59,1100,63893,0.0001,0.04246657341718674,15723,,
65.61,0.74437408,3.12,1091,59,1110,64552,0.0001,0.027778083458542824,15887,,
68.21,0.7413525999999999,3.41,1103,59,1120,65315,0.0001,0.27699312567710876,16078,,
65.89,0.7396894,3.37,1110,59,1130,65735,0.0001,0.02330169267952442,16183,,
68.97,0.73701244,3.57,1122,59,1140,66411,0.0001,0.19915267825126648,16352,,
